price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,choice
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,0,0,0,0,0,1,0,0
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,1,1,0,0,0,0,2
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,1,1,1,1,0,0,1,8
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,0,0,0,1,1,1,0,6
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,0,1,0,0,1,1,0,6
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,0,0,1,1,0,1,1,0
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,1,1,0,0,0,0,1,8
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,0,1,0,0,1,1,0,7
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,1,1,0,0,0,1,0,2
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,0,0,0,0,0,0,1,8
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,0,1,0,1,0,1,0
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,0,1,1,1,0,1,2
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,1,0,1,0,1,0,2
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,0,0,0,1,1,0,1,6
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,1,1,0,1,0,0,0,2
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,1,0,1,0,1,0,1
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,0,1,1,0,0,1,1,4
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,1,0,1,0,0,1,2
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,0,1,0,1,1,0,1
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,0,1,0,1,0,0,0
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,0,1,1,1,0,1,0,1,8
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,0,0,0,0,1,1,0,1
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,1,1,1,0,0,1,8
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,0,1,0,0,0,1,0
6.76,6.42,5.95,5.43,3.77,3.73,3.62,1.56,1,1,1,1,1,1,0,0,4
