price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,choice
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,1,0,1,0,0,0,1
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,1,0,1,0,0,0,5
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,0,1,0,0,0,0,4
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,1,1,0,1,1,0,4
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,1,0,1,0,1,0,3
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,1,0,0,0,1,1,2
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,1,1,0,0,1,0,0,2
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,0,1,0,1,1,0,1
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,1,0,1,1,1,0,0,4
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,1,1,1,1,1,1,0,2
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,0,1,0,1,0,1,1,5
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,0,1,0,1,1,1,4
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,1,1,1,0,1,1,1,4
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,0,0,0,1,0,0,6
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,1,0,0,0,0,0,0,0
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,0,1,1,0,0,0,1,1
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,1,0,0,0,1,1,7
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,1,0,0,0,1,0,1,2
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,0,1,0,1,0,0,4
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,1,1,1,1,1,0,7
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,1,0,1,1,0,0,1,4
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,0,0,1,1,0,1,1
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,1,0,1,0,0,1,3
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,0,0,0,0,0,1,0
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,0,1,0,0,0,0,1,8
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,1,0,1,1,1,1,6
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,1,0,0,0,0,1,8
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,0,0,0,0,1,0,0,1,8
9.48,8.92,5.75,4.5,3.81,3.8,2.35,1.93,1,1,0,1,0,0,0,1,1
