price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,choice
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,1,0,0,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,0,0,0,0,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,1,1,0,1,0,7
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,1,1,1,1,1,0,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,1,1,1,1,0,1
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,0,1,0,0,0,1
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,0,0,0,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,0,0,0,0,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,1,0,1,0,1,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,0,0,1,1,0,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,1,1,0,1,1,1,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,0,0,1,1,1,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,0,1,1,1,1,1,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,1,0,0,0,1,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,1,0,0,1,0,7
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,1,0,1,1,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,1,0,0,1,0,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,1,0,0,1,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,1,1,1,0,0,1,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,1,0,0,0,0,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,0,1,1,1,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,0,0,1,1,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,1,0,1,0,0,1,2
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,0,0,0,0,1,0,7
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,1,1,1,1,1,1,1
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,1,0,0,0,0,1,1
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,0,0,1,0,0,1,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,0,1,1,0,0,1
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,0,1,0,1,0,0,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,1,0,0,1,0,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,1,1,1,0,1,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,0,1,1,0,1,6
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,1,1,0,0,1,0,2
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,1,1,0,1,0,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,0,1,0,0,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,1,1,1,0,1,0,1
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,0,1,0,0,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,0,1,0,0,1,5
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,1,0,0,1,1,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,1,0,0,1,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,0,0,0,1,0,0,1,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,0,1,1,1,0,7
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,0,1,0,1,0,1,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,0,0,1,0,0,0
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,0,0,0,1,0,7
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,0,1,1,1,1,1,4
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,0,1,0,1,1,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,0,1,0,1,1,7
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,0,1,0,1,0,0,0,1,8
6.7,5.07,4.07,3.47,2.26,2.11,1.66,1.02,1,1,1,0,1,1,1,1,0
