price_1,price_2,price_3,price_4,offered_1,offered_2,offered_3,offered_4,choice
7.25,4.09,3.35,2.99,0,1,0,0,0
7.25,4.09,3.35,2.99,0,1,0,0,2
7.25,4.09,3.35,2.99,1,1,0,1,1
7.25,4.09,3.35,2.99,0,0,1,0,0
7.25,4.09,3.35,2.99,0,0,1,1,4
7.25,4.09,3.35,2.99,1,0,1,1,0
7.25,4.09,3.35,2.99,0,0,0,1,0
7.25,4.09,3.35,2.99,0,1,0,0,2
7.25,4.09,3.35,2.99,0,1,1,0,0
7.25,4.09,3.35,2.99,1,1,0,1,2
7.25,4.09,3.35,2.99,0,0,0,1,4
7.25,4.09,3.35,2.99,1,1,0,1,2
7.25,4.09,3.35,2.99,1,1,0,0,2
7.25,4.09,3.35,2.99,1,0,0,0,0
7.25,4.09,3.35,2.99,1,1,1,0,1
7.25,4.09,3.35,2.99,1,0,1,0,3
7.25,4.09,3.35,2.99,0,0,0,1,0
7.25,4.09,3.35,2.99,1,0,0,0,1
7.25,4.09,3.35,2.99,0,0,1,0,0
7.25,4.09,3.35,2.99,0,1,0,0,2
7.25,4.09,3.35,2.99,0,1,0,0,2
7.25,4.09,3.35,2.99,1,1,1,0,2
7.25,4.09,3.35,2.99,0,1,1,0,2
7.25,4.09,3.35,2.99,1,1,0,0,0
7.25,4.09,3.35,2.99,1,0,0,0,0
7.25,4.09,3.35,2.99,1,0,0,1,1
7.25,4.09,3.35,2.99,0,1,0,1,4
7.25,4.09,3.35,2.99,0,1,0,0,2
7.25,4.09,3.35,2.99,1,0,0,0,1
7.25,4.09,3.35,2.99,0,0,1,0,0
7.25,4.09,3.35,2.99,0,0,0,1,4
7.25,4.09,3.35,2.99,1,1,1,0,0
7.25,4.09,3.35,2.99,1,0,0,0,1
7.25,4.09,3.35,2.99,1,1,0,0,2
7.25,4.09,3.35,2.99,1,1,0,0,2
7.25,4.09,3.35,2.99,0,0,0,1,4
7.25,4.09,3.35,2.99,1,1,0,0,0
7.25,4.09,3.35,2.99,1,0,1,0,0
7.25,4.09,3.35,2.99,0,0,1,0,0
7.25,4.09,3.35,2.99,0,0,1,1,4
7.25,4.09,3.35,2.99,1,0,1,0,0
7.25,4.09,3.35,2.99,1,0,1,1,4
7.25,4.09,3.35,2.99,1,1,1,0,0
7.25,4.09,3.35,2.99,0,1,0,0,0
7.25,4.09,3.35,2.99,0,1,1,0,0
7.25,4.09,3.35,2.99,1,0,0,0,1
7.25,4.09,3.35,2.99,1,0,1,0,1
7.25,4.09,3.35,2.99,0,0,0,1,4
7.25,4.09,3.35,2.99,1,1,1,0,0
7.25,4.09,3.35,2.99,1,0,0,0,0
