price_1,price_2,price_3,price_4,price_5,price_6,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,choice
9.92,8.29,8.03,5.51,5.49,1.64,1,1,0,0,1,0,5
9.92,8.29,8.03,5.51,5.49,1.64,0,0,1,0,0,0,3
9.92,8.29,8.03,5.51,5.49,1.64,0,1,1,1,1,1,3
9.92,8.29,8.03,5.51,5.49,1.64,0,1,0,1,0,1,2
9.92,8.29,8.03,5.51,5.49,1.64,0,0,0,0,1,0,5
9.92,8.29,8.03,5.51,5.49,1.64,1,1,0,1,1,1,2
9.92,8.29,8.03,5.51,5.49,1.64,1,1,1,0,1,0,2
9.92,8.29,8.03,5.51,5.49,1.64,1,0,0,1,1,0,1
9.92,8.29,8.03,5.51,5.49,1.64,0,0,0,0,1,1,5
9.92,8.29,8.03,5.51,5.49,1.64,1,0,0,0,1,1,5
9.92,8.29,8.03,5.51,5.49,1.64,0,1,0,0,0,0,2
9.92,8.29,8.03,5.51,5.49,1.64,0,1,0,0,0,1,2
9.92,8.29,8.03,5.51,5.49,1.64,1,0,1,0,0,0,3
9.92,8.29,8.03,5.51,5.49,1.64,0,1,1,0,1,1,2
9.92,8.29,8.03,5.51,5.49,1.64,1,1,1,0,0,1,1
9.92,8.29,8.03,5.51,5.49,1.64,0,0,1,0,0,0,0
9.92,8.29,8.03,5.51,5.49,1.64,1,1,0,1,0,1,1
9.92,8.29,8.03,5.51,5.49,1.64,1,1,0,1,0,1,4
9.92,8.29,8.03,5.51,5.49,1.64,0,1,1,0,0,1,3
9.92,8.29,8.03,5.51,5.49,1.64,0,1,1,0,1,1,2
9.92,8.29,8.03,5.51,5.49,1.64,0,0,1,0,1,1,0
9.92,8.29,8.03,5.51,5.49,1.64,1,1,1,0,1,0,2
9.92,8.29,8.03,5.51,5.49,1.64,1,1,1,0,0,1,1
9.92,8.29,8.03,5.51,5.49,1.64,0,0,0,0,0,1,0
9.92,8.29,8.03,5.51,5.49,1.64,0,1,0,0,0,0,0
9.92,8.29,8.03,5.51,5.49,1.64,1,1,1,1,1,0,5
9.92,8.29,8.03,5.51,5.49,1.64,0,1,0,1,0,0,0
