price_1,price_2,price_3,price_4,price_5,price_6,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,choice
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,1,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,1,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,1,1,1,1
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,0,1,0,3
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,1,1,0,5
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,1,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,0,1,4
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,0,0,0
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,1,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,1,0,0,1
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,0,0,1,0
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,1,1,1
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,0,0,1,3
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,0,0,0
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,1,1,0,5
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,1,0,1,0
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,0,0,1
9.24,7.67,4.34,3.3,2.55,2.42,0,0,0,1,0,1,4
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,0,1,4
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,0,0,0,1
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,0,0,1,0
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,1,0,0,1
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,1,0,3
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,0,1,0,1
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,0,1,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,0,1,0,5
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,1,0,3
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,1,0,1
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,0,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,0,0,0,1
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,0,0,0,3
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,0,1,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,0,1,0,1
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,0,0,1,3
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,1,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,1,0,1,1
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,0,0,1,3
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,1,0,1,3
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,0,0,1
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,1,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,0,0,0,1,0,0,0
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,1,1,0,5
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,0,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,0,0,4
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,1,0,1,0
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,0,0,0
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,0,1,0
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,0,1,1,0
9.24,7.67,4.34,3.3,2.55,2.42,0,0,0,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,1,1,3
9.24,7.67,4.34,3.3,2.55,2.42,0,0,0,0,0,1,0
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,0,0,1
9.24,7.67,4.34,3.3,2.55,2.42,1,0,1,1,0,1,1
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,0,0,1,1
9.24,7.67,4.34,3.3,2.55,2.42,0,0,0,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,1,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,0,1,0,0
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,1,0,0,4
9.24,7.67,4.34,3.3,2.55,2.42,0,0,0,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,0,1,0,0,1,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,0,0,1,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,1,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,0,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,1,1,0,1,1,0,5
9.24,7.67,4.34,3.3,2.55,2.42,1,1,1,1,1,1,0
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,0,0,0,3
9.24,7.67,4.34,3.3,2.55,2.42,0,1,1,1,1,0,4
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,1,0,1,6
9.24,7.67,4.34,3.3,2.55,2.42,0,0,1,0,0,1,6
