price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23,price_24,price_25,price_26,price_27,price_28,price_29,price_30,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,offered_9,offered_10,offered_11,offered_12,offered_13,offered_14,offered_15,offered_16,offered_17,offered_18,offered_19,offered_20,offered_21,offered_22,offered_23,offered_24,offered_25,offered_26,offered_27,offered_28,offered_29,offered_30,choice
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,7
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,22
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,11
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,4
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,11
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,3
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,5
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,5
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,23
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,25
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,9
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,21
9.76,9.38,8.42,8.09,7.79,7.74,7.63,7.55,7.21,7.19,6.81,5.81,5.77,5.64,5.47,4.7,4.67,4.54,3.92,3.25,2.52,2.5,2.3,2.27,2.11,1.8,1.78,1.37,1.27,1.25,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,18
