price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,offered_9,offered_10,choice
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,1,0,0,1,0,1,1,3
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,1,0,1,1,1,1,0,6
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,1,1,0,0,1,1,0,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,0,1,1,1,1,0,0,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,1,1,0,1,1,1,0,3
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,1,1,1,0,1,0,0,3
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,1,1,1,0,1,1,0,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,1,0,1,1,1,1,1,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,0,0,0,1,1,1,0,1,2
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,1,1,0,0,1,0,0,1
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,1,0,0,0,1,1,1,10
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,1,0,1,0,1,1,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,1,1,1,0,1,1,0,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,1,0,1,0,0,1,0,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,0,0,1,1,0,0,0,6
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,0,0,0,1,1,0,1,1
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,1,1,0,0,1,1,0,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,1,1,0,0,0,0,0,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,1,1,1,0,0,0,1,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,1,0,0,0,0,1,0,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,0,0,0,1,1,1,1,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,1,1,0,0,1,0,0,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,0,0,0,0,1,0,1,1,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,0,0,0,0,0,0,1,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,0,0,1,1,1,0,0,0,7
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,1,1,1,1,0,0,1,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,1,1,0,1,1,1,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,0,0,1,1,1,0,1,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,1,0,1,1,0,0,1,7
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,0,1,0,1,1,1,1,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,0,1,1,1,1,1,1,3
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,0,1,1,1,0,1,1,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,0,0,1,1,0,1,1,7
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,0,1,0,0,0,0,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,1,0,0,0,1,1,0,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,0,0,0,0,1,1,1,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,1,0,1,1,0,1,0,7
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,1,0,0,1,0,1,1,7
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,0,1,0,0,1,0,0,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,0,1,1,1,1,1,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,1,0,0,0,0,1,1,3
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,1,1,1,0,1,1,0,1
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,1,0,0,1,0,1,1,2
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,0,1,1,0,0,0,0,6
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,1,1,1,0,1,1,1,2
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,1,0,1,0,0,0,0,1
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,0,0,1,0,0,1,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,1,0,1,0,1,0,1,3
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,0,0,1,0,1,0,0,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,0,1,1,0,0,0,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,1,0,1,0,1,1,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,1,1,1,1,0,0,0,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,0,1,0,0,1,0,1,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,0,1,0,0,1,0,1,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,1,1,1,1,1,0,0,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,1,0,1,0,0,0,0,3
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,1,1,0,1,1,1,1,1,9
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,1,1,0,0,1,0,0,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,1,0,1,1,1,0,1,4
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,0,1,1,1,1,0,0,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,0,0,0,1,1,0,1,1,9
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,1,1,0,0,1,1,1,5
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,0,0,0,1,1,0,0,0,1,10
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,1,1,0,0,0,0,0,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,0,0,1,0,0,1,0,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,0,0,1,0,0,1,1,1,0
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,1,1,1,0,1,1,0,1,0,1,6
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,0,0,0,1,1,0,1,0,1,8
9.3,9.28,8.89,7.87,7.61,6.86,5.25,5.08,4.12,1.74,0,1,1,0,1,1,0,0,0,1,3
