price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,offered_9,offered_10,choice
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,0,0,0,0,1,0,0,1,1,10
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,1,1,1,0,1,1,0,0,1,3
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,1,0,0,1,0,1,0,1,0,7
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,1,1,0,0,1,0,0,1,0,6
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,1,1,1,1,1,1,1,0,2
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,1,0,0,0,1,0,1,0,1,6
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,0,0,0,0,1,1,0,0,1,6
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,0,0,1,1,1,1,0,1,1,1
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,0,1,1,0,0,0,0,0,0,0
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,0,1,1,0,1,0,0,1,1,9
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,1,1,0,1,0,1,0,1,1,9
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,1,1,0,0,0,1,0,0,1,3
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,0,1,1,0,0,1,0,0,0,4
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,0,0,0,0,1,1,1,0,0,1
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,1,0,0,1,1,0,0,1,1
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,1,0,0,1,0,0,0,0,2
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,0,1,0,1,1,0,1,0,1,10
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,0,1,0,1,0,1,1,0,1,7
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,1,1,1,1,0,1,0,1,1,2
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,0,1,1,0,1,0,0,1,1
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,0,0,1,1,0,0,0,0,1,4
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,0,0,1,1,0,1,0,1,0,0
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,0,1,0,1,1,0,0,0,6
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,0,1,0,0,0,0,1,1,1
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,0,0,1,1,1,1,1,1,0,8
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,0,1,1,0,1,0,0,0,7
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,0,0,0,1,0,1,1,1,0,9
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,0,0,0,0,1,1,0,0,1,1,0
9.08,8.69,8.33,4.86,4.57,4.44,2.78,2.3,2.11,1.19,1,1,0,0,0,1,0,1,1,1,8
