price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,offered_9,offered_10,choice
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,0,0,1,0,1,1,1,1,0,8
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,1,1,1,0,1,1,0,1,10
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,1,1,1,1,1,1,1,1,5
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,0,1,0,1,1,1,1,0,6
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,1,1,1,0,1,1,1,0,5
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,0,0,0,1,1,0,1,0,0,0
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,0,0,1,0,0,1,0,0,8
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,0,0,0,0,1,1,1,1,1,8
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,0,0,0,0,1,0,1,0,0,6
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,0,1,1,1,0,1,0,0,0,7
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,1,1,0,0,0,1,0,0,2
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,0,0,1,1,1,1,1,1,1,4
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,1,1,1,0,1,1,1,0,5
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,0,0,1,0,0,0,0,0,5
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,0,0,1,0,1,0,1,0,0,8
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,0,0,1,0,0,0,1,1,1,8
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,0,1,0,1,0,1,0,0,8
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,0,0,0,1,1,0,0,1,1
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,1,0,1,1,0,0,1,0,6
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,1,0,1,1,0,1,1,1,8
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,1,1,1,0,1,1,1,0,2
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,0,0,0,1,1,1,1,1,0,5
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,1,1,1,1,0,1,0,1,4
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,1,0,1,1,0,0,1,0,1,0
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,0,0,1,1,0,0,1,1,1,0,4
7.71,6.46,6.36,4.41,4.22,3.8,2.95,2.82,2.41,1.24,1,1,0,1,1,0,0,0,0,1,2
