price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,offered_1,offered_2,offered_3,offered_4,offered_5,offered_6,offered_7,offered_8,offered_9,offered_10,choice
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,1,1,0,1,0,0,1,1,3
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,1,1,1,1,1,1,0,0,6
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,0,0,0,1,1,1,1,1,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,0,1,1,1,1,0,1,8
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,1,0,1,0,1,1,1,0,0,2
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,1,0,0,1,0,0,0,0,0,5
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,1,1,1,1,1,1,0,0,0
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,0,0,0,0,0,0,1,0,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,0,0,0,1,1,1,0,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,1,1,0,1,1,0,0,0,6
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,1,1,1,1,0,0,1,1,4
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,0,1,0,0,0,1,1,10
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,1,1,0,1,1,0,0,0,7
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,1,1,1,1,0,0,1,1,1,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,1,1,1,1,0,0,1,1,0,1
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,0,0,0,0,0,1,1,1,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,0,0,0,0,0,1,0,1,8
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,0,0,0,1,1,1,1,1,2
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,0,1,0,1,1,0,0,1,2
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,0,0,0,1,0,0,0,1,6
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,1,1,1,1,1,0,0,1,3
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,1,0,0,0,0,1,0,0,0
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,0,0,1,1,1,1,0,0,7
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,1,0,0,1,1,0,1,1,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,1,0,0,0,1,0,1,8
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,0,0,1,1,0,0,1,1,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,1,1,0,0,0,1,0,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,1,0,1,1,0,0,0,0,1
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,0,0,1,1,1,0,0,8
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,0,1,1,0,0,1,1,1,2
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,1,1,1,1,0,1,0,0
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,0,0,1,1,0,1,0,1,8
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,1,1,0,1,0,1,1,1,8
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,0,1,0,0,1,0,1,0,9
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,1,0,1,1,0,1,0,1,0
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,1,0,1,0,1,1,1,1,1
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,1,0,1,0,1,1,0,0,1,0
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,1,1,0,1,1,0,0,0,3
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,1,1,0,1,0,1,0,0,0,1
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,0,1,1,0,1,1,0,0,0,4
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,0,1,1,0,1,0,1,0,0,3
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,0,0,1,1,1,1,1,1,2
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,1,1,1,1,1,1,0,1,0,1,4
9.91,8.68,8.38,8.13,7.39,6.35,3.71,3.1,2.32,1.93,0,1,1,0,1,1,1,1,0,1,10
